MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD;LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;03-05-2011;07:00:00;;16,6;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;18-05-2011;07:00:00;;17,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;31-05-2011;06:45:00;;20,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;15-06-2011;07:00:00;;21;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;29-06-2011;07:00:00;;23,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;13-07-2011;07:00:00;;22,8;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;27-07-2011;07:00:00;;19,8;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;10-08-2011;07:00:00;;20,4;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;24-08-2011;07:00:00;;22,8;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;07-09-2011;07:00:00;;20;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;21-09-2011;07:00:00;;18,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;05-10-2011;07:00:00;;19,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;19-10-2011;07:00:00;;13,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;02-11-2011;08:00:00;;13,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;16-11-2011;08:00:00;;11,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;30-11-2011;08:00:00;;8,55;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;14-12-2011;08:00:00;;7,34;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;28-12-2011;08:00:00;;7,35;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;11-01-2012;08:00:00;;7,02;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;25-01-2012;08:00:00;;5,75;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;08-02-2012;08:00:00;;1,13;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;22-02-2012;08:00:00;;4,32;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;07-03-2012;08:00:00;;8,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;21-03-2012;08:00:00;;10,6;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;04-04-2012;07:00:00;;12,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;18-04-2012;07:00:00;;11,4;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;02-05-2012;07:00:00;;15,4;;Normale waarde;Definitief;RIZAMON_LAN;;;Emmer;33;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;15-05-2012;07:00:00;;17,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;30-05-2012;06:30:00;;20,4;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;13-06-2012;07:00:00;;18,8;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;27-06-2012;06:30:00;;20,1;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;11-07-2012;07:00:00;;21,8;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
