Datum;Tijd;Parameter;Locatie;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
27-9-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,08;mg/l;-100;WATSGL;
11-10-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,38;mg/l;-100;WATSGL;
25-10-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,57;mg/l;-100;WATSGL;
8-11-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,70;mg/l;-100;WATSGL;
22-11-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,13;mg/l;-100;WATSGL;
6-12-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,24;mg/l;-100;WATSGL;
20-12-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,38;mg/l;-100;WATSGL;
3-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,38;mg/l;-100;WATSGL;
17-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,01;mg/l;-100;WATSGL;
31-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,27;mg/l;-100;WATSGL;
14-2-2007;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,01;mg/l;-100;WATSGL;
28-2-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,60;mg/l;-100;WATSGL;
14-3-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,12;mg/l;-100;WATSGL;
28-3-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,46;mg/l;-100;WATSGL;
11-4-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,70;mg/l;-100;WATSGL;
25-4-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,05;mg/l;-100;WATSGL;
9-5-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,22;mg/l;-100;WATSGL;
23-5-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,25;mg/l;-100;WATSGL;
6-6-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,68;mg/l;-100;WATSGL;
20-6-2007;09:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,85;mg/l;-100;WATSGL;
4-7-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,95;mg/l;-100;WATSGL;
18-7-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,64;mg/l;-100;WATSGL;
